customer_city,product_category_name_english,total_orders
ananindeua,computers_accessories,11
itupeva,bed_bath_table,11
colombo,sports_leisure,11
muriae,furniture_decor,11
nova lima,computers_accessories,11
cajamar,bed_bath_table,11
jatai,computers_accessories,11
caruaru,health_beauty,11
colatina,computers_accessories,11
aruja,health_beauty,11
itabira,bed_bath_table,11
parnamirim,books_general_interest,11
paranavai,computers_accessories,11
gravatai,cool_stuff,11
santo angelo,sports_leisure,11
embu-guacu,bed_bath_table,11
itapeva,diapers_and_hygiene,10
santa luzia,bed_bath_table,10
arraial do cabo,bed_bath_table,10
teofilo otoni,housewares,10
ipua,construction_tools_construction,10
alto paraiso de goias,bed_bath_table,10
morro agudo,computers_accessories,10
cosmopolis,bed_bath_table,10
itumbiara,bed_bath_table,10
itaborai,bed_bath_table,10
lauro de freitas,housewares,10
sao joao del rei,housewares,10
laguna,cool_stuff,10
rondonopolis,sports_leisure,10
queimados,bed_bath_table,10
mairipora,housewares,10
bom despacho,bed_bath_table,10
petrolina,health_beauty,10
extrema,bed_bath_table,10
guaratingueta,housewares,10
angra dos reis,bed_bath_table,10
amparo,bed_bath_table,10
campo mourao,computers_accessories,10
poa,health_beauty,10
sapucaia do sul,garden_tools,10
sao roque,health_beauty,10
conselheiro lafaiete,bed_bath_table,9
campo limpo paulista,health_beauty,9
bento goncalves,computers_accessories,9
lins,sports_leisure,9
paty do alferes,health_beauty,9
itarare,furniture_decor,9
avare,watches_gifts,9
camacari,sports_leisure,9
joao monlevade,bed_bath_table,9
paulista,watches_gifts,9
campina grande,health_beauty,9
ouro preto,furniture_decor,9
santarem,telephony,9
sao joao nepomuceno,housewares,9
bertioga,bed_bath_table,9
concordia,furniture_decor,9
vassouras,bed_bath_table,9
santana do livramento,housewares,9
orlandia,computers_accessories,9
cacapava,bed_bath_table,9
tubarao,sports_leisure,9
tiete,garden_tools,9
sao sebastiao,bed_bath_table,9
leme,bed_bath_table,8
tremembe,sports_leisure,8
alvorada,bed_bath_table,8
capela,garden_tools,8
alfenas,furniture_decor,8
jequie,health_beauty,8
vargem grande paulista,bed_bath_table,8
venancio aires,sports_leisure,8
castro,furniture_decor,8
frutal,sports_leisure,8
itabuna,sports_leisure,8
penapolis,sports_leisure,8
pedro leopoldo,garden_tools,8
artur nogueira,bed_bath_table,8
garanhuns,toys,8
garopaba,sports_leisure,8
pinhalzinho,sports_leisure,8
macapa,computers_accessories,8
piracaia,furniture_decor,8
dourados,baby,8
presidente venceslau,sports_leisure,8
mongagua,bed_bath_table,8
cambui,bed_bath_table,8
boituva,computers_accessories,8
guaxupe,bed_bath_table,8
pirassununga,bed_bath_table,8
pirapora,sports_leisure,8
toledo,sports_leisure,8
linhares,auto,8
sabara,computers_accessories,8
erechim,baby,8
sinop,furniture_decor,8
guanambi,health_beauty,8
olimpia,housewares,8
brusque,furniture_decor,8
coromandel,fashion_bags_accessories,7
itaguai,computers_accessories,7
santa barbara,bed_bath_table,7
paracambi,bed_bath_table,7
mococa,auto,7
nova serrana,furniture_decor,7
paranagua,garden_tools,7
